correct_ans,images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
left,images/gorilla_tongue.jpeg,0,0,0,2,left,1.68534708023,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
left,images/gorilla_fat.jpeg,0,1,1,1,left,0.695652008057,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
up,images/santa_hog.jpeg,0,2,2,9,up,1.76883292198,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
left,images/gorilla_face.jpeg,0,3,3,0,left,0.863415002823,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
up,images/egg_hog.jpeg,0,4,4,6,up,0.697284936905,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
right,images/rat_cat.jpeg,0,5,5,5,right,0.730683088303,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
up,images/marshmallow_hog.jpeg,0,6,6,8,up,0.947332859039,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
up,images/icecream_hog.jpeg,0,7,7,7,up,0.747102975845,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
right,images/ear_muffs_cat.jpeg,0,8,8,4,right,0.713720083237,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
right,images/cat_eyes.jpeg,0,9,9,3,right,0.648617982864,2015_Jul_01_0934,59.7521760809,visneuro_demo,001,001,
