correct_ans,images,type_of_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
right,images/rat_cat.jpeg,cat,0,0,0,5,right,1,1.7521879673,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
left,images/gorilla_face.jpeg,gorilla,0,1,1,0,left,1,0.731122970581,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
right,images/ear_muffs_cat.jpeg,cat,0,2,2,4,up,0,0.497460126877,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
up,images/santa_hog.jpeg,hog,0,3,3,9,up,1,0.614163160324,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
up,images/marshmallow_hog.jpeg,hog,0,4,4,8,up,1,0.747950792313,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
right,images/cat_eyes.jpeg,cat,0,5,5,3,right,1,1.16591501236,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
up,images/egg_hog.jpeg,hog,0,6,6,6,up,1,0.815403938293,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
left,images/gorilla_tongue.jpeg,gorilla,0,7,7,2,left,1,0.413637876511,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
left,images/gorilla_fat.jpeg,gorilla,0,8,8,1,left,1,0.848958015442,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
up,images/icecream_hog.jpeg,hog,0,9,9,7,up,1,0.681311845779,2015_Jul_01_1242,59.7517504683,visneuro_demo_feedback,001,001,
