correct_ans,images,type_of_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
right,images/cat_eyes.jpeg,cat,0,0,0,3,,,,,right,1,1.78581404686,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
left,images/gorilla_face.jpeg,gorilla,0,1,1,0,,,,,left,1,0.697484970093,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
up,images/marshmallow_hog.jpeg,hog,0,2,2,8,,,,,up,1,1.35164880753,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
up,images/egg_hog.jpeg,hog,0,3,3,6,,,,,up,1,0.848917961121,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
left,images/gorilla_tongue.jpeg,gorilla,0,4,4,2,,,,,left,1,0.715542078018,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
left,images/gorilla_fat.jpeg,gorilla,0,5,5,1,,,,,left,1,0.430866956711,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
right,images/ear_muffs_cat.jpeg,cat,0,6,6,4,,,,,right,1,0.749220132828,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
up,images/santa_hog.jpeg,hog,0,7,7,9,,,,,up,1,0.899082899094,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
up,images/icecream_hog.jpeg,hog,0,8,8,7,,,,,up,1,1.45199894905,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
right,images/rat_cat.jpeg,cat,0,9,9,5,,,,,right,1,0.514663934708,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
left,images/gorilla_tongue.jpeg,gorilla,,,,,0,0,0,2,left,1,0.504392147064,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
right,images/rat_cat.jpeg,cat,,,,,0,1,1,5,right,1,0.59611082077,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
right,images/cat_eyes.jpeg,cat,,,,,0,2,2,3,right,1,3.7274851799,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
left,images/gorilla_face.jpeg,gorilla,,,,,0,3,3,0,left,1,0.680565834045,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
right,images/ear_muffs_cat.jpeg,cat,,,,,0,4,4,4,right,1,0.680536031723,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
up,images/icecream_hog.jpeg,hog,,,,,0,5,5,7,up,1,0.613028049469,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
up,images/egg_hog.jpeg,hog,,,,,0,6,6,6,up,1,0.764399051666,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
up,images/santa_hog.jpeg,hog,,,,,0,7,7,9,up,1,0.747749090195,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
left,images/gorilla_fat.jpeg,gorilla,,,,,0,8,8,1,left,1,0.696688890457,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
up,images/marshmallow_hog.jpeg,hog,,,,,0,9,9,8,right,0,0.781764984131,2015_Jul_01_1243,59.7354115306,visneuro_demo_feedback,001,001,
