correct_ans,images,type_of_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,space,3.82521009445,,,,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
up,images/icecream_hog.jpeg,hog,0,0,0,7,,,,,,,up,1,0.682186841965,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
left,images/gorilla_face.jpeg,gorilla,0,1,1,0,,,,,,,left,1,0.545571804047,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
up,images/marshmallow_hog.jpeg,hog,0,2,2,8,,,,,,,up,1,0.598241090775,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
right,images/cat_eyes.jpeg,cat,0,3,3,3,,,,,,,up,0,0.48099398613,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
left,images/gorilla_tongue.jpeg,gorilla,0,4,4,2,,,,,,,left,1,0.581420898438,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
right,images/ear_muffs_cat.jpeg,cat,0,5,5,4,,,,,,,right,1,0.615145921707,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
right,images/rat_cat.jpeg,cat,0,6,6,5,,,,,,,right,1,0.615150928497,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
up,images/egg_hog.jpeg,hog,0,7,7,6,,,,,,,up,1,0.682153940201,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
up,images/santa_hog.jpeg,hog,0,8,8,9,,,,,,,up,1,0.531363964081,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
left,images/gorilla_fat.jpeg,gorilla,0,9,9,1,,,,,,,left,1,0.463644981384,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
up,images/marshmallow_hog.jpeg,hog,,,,,0,0,0,8,,,up,1,0.654370069504,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
right,images/rat_cat.jpeg,cat,,,,,0,1,1,5,,,right,1,0.52797293663,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
right,images/ear_muffs_cat.jpeg,cat,,,,,0,2,2,4,,,right,1,0.564441204071,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
right,images/cat_eyes.jpeg,cat,,,,,0,3,3,3,,,right,1,0.564602136612,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
left,images/gorilla_tongue.jpeg,gorilla,,,,,0,4,4,2,,,left,1,0.547038078308,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
left,images/gorilla_face.jpeg,gorilla,,,,,0,5,5,0,,,left,1,0.513015985489,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
up,images/santa_hog.jpeg,hog,,,,,0,6,6,9,,,up,1,0.511554002762,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
left,images/gorilla_fat.jpeg,gorilla,,,,,0,7,7,1,,,left,1,0.546824932098,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
up,images/icecream_hog.jpeg,hog,,,,,0,8,8,7,,,up,1,0.530027866364,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
up,images/egg_hog.jpeg,hog,,,,,0,9,9,6,,,up,1,0.646908998489,2015_Jul_01_1249,59.7211222884,visneuro_demo_feedback,001,001,
